Tweet,Years,Tweet Length,Lemmatized,Tweets with no Stopwords,Short Tweets
y didn't she dob him out in       how many more women were abused due   her inaction       was    years after feminism took a stronghold  amp  yet the country is full of weak women who did not want justice  or even try    amp  i'm specifically talking re        amp  beyond   amazing ,2018,284,y do n't she dob him out in how many more woman be abused due her inaction be year after feminism take a stronghold amp yet the country be full of weak woman who do not want justice or even try amp i'm specifically talk re amp beyond amaze,n't dob many woman abused due inaction year feminism take stronghold amp yet country full weak woman want justice even try amp i'm specifically talk amp beyond amaze,n't dob many woman abused due inaction year feminism take stronghold amp yet country full weak woman want justice even try amp i'm specifically talk amp beyond amaze
it seems there is also connections with the trump russia mueller  amp  dorssia case maybe so is her brother  she is also a  board connection  amp  other anti american org issues possible thinking commie  she is not a honest poor lady fbi needs   ck out her dad  amp  family connection,2018,284,it seem there be also connection with the trump russia mueller amp dorssia case maybe so be her brother she be also a board connection amp other anti american org issue possible think commie she be not a honest poor lady fbi need ck out her dad amp family connection,seem also connection trump russia mueller amp dorssia case maybe brother also board connection amp anti american org issue possible think commie honest poor lady fbi need ck dad amp family connection,seem also connection trump russia mueller amp dorssia case maybe brother also board connection amp anti american org issue possible think commie honest poor lady fbi need dad amp family connection
           he held that shit together much longer than i would have   getting called all those things on national tv in front of your family   nope  there would be several less democratic senators today  i wonder how awesome the kavanaugh women think  is  no evidence needed for guilt ,2018,285,he hold that shit together much long than i would have get call all those thing on national tv in front of your family nope there would be several less democratic senator today i wonder how awesome the kavanaugh woman think be no evidence need for guilt,hold shit together much long would get call thing national tv front family nope would several less democratic senator today wonder awesome kavanaugh woman think evidence need guilt,hold shit together much long would get call thing national front family nope would several less democratic senator today wonder awesome kavanaugh woman think evidence need guilt
                                                 this    year old person doesn t sound healthy  her voice  demeanor  story  lack of any corroborating or circumstantial evidence  that the so called  movement latched to her will cause untold damage to it  regardless of your gender  sane people will see through it in my view,2018,323,this year old person doesn t sound healthy her voice demeanor story lack of any corroborating or circumstantial evidence that the so called movement latch to her will cause untold damage to it regardless of your gender sane people will see through it in my view,year old person sound healthy voice demeanor story lack corroborating circumstantial evidence called movement latch cause untold damage regardless gender sane people see view,year old person sound healthy voice demeanor story lack corroborating circumstantial evidence called movement latch cause untold damage regardless gender sane people see view
heard a group talking at breakfast  turned  amp  politely said  she didn t just make this up she spoke to a therapist years ago    they engaged  amp  said  well why didn t she call the police   i said    i didn t   zero empathy   gt  well  we would just like to eat  sad evil  both ,2018,282,heard a group talk at breakfast turn amp politely say she didn t just make this up she speak to a therapist year ago they engage amp say well why didn t she call the police i say i didn t zero empathy gt well we would just like to eat sad evil both,heard group talk breakfast turn amp politely say make speak therapist year ago engage amp say well call police say zero empathy gt well would like eat sad evil,heard group talk breakfast turn amp politely say make speak therapist year ago engage amp say well call police say zero empathy well would like eat sad evil
holyjesus  u  amp  anyone that liked this tweet are dumber than a fucking box of rocks  amp  before you attack me remember i am a woman  amp  you are an alcoholic white man  amp  i will be believed no matter what  i will repoevery horrifying thing u did to me or did u forget already ,2018,284,holyjesus u amp anyone that like this tweet be dumber than a fucking box of rock amp before you attack me remember i be a woman amp you be an alcoholic white man amp i will be believe no matter what i will repoevery horrify thing u do to me or do u forget already,holyjesus u amp anyone like tweet dumber fucking box rock amp attack remember woman amp alcoholic white man amp believe matter repoevery horrify thing u u forget already,holyjesus amp anyone like tweet dumber fucking box rock amp attack remember woman amp alcoholic white man amp believe matter repoevery horrify thing forget already
 is a continuation of the fight that each woman as a victim carried to come to terms with the wrong that was done to her  amp  has finally gathered courage  amp  regained her self esteem to speak about that wrong  amp  expose that wrong doer  please refrain from questioning the timing ,2018,286,be a continuation of the fight that each woman as a victim carry to come to term with the wrong that be do to her amp have finally gather courage amp regain her self esteem to speak about that wrong amp expose that wrong doer please refrain from question the timing,continuation fight woman victim carry come term wrong amp finally gather courage amp regain self esteem speak wrong amp expose wrong doer please refrain question timing,continuation fight woman victim carry come term wrong amp finally gather courage amp regain self esteem speak wrong amp expose wrong doer please refrain question timing
     as to the flake elevator confrontation  why didn't these supposed female victims approach  amp  berate a senator cory booker that sexually assaulted a female in his young years  amp  boasted about it in his own aicle  is it because the  accepts contributions from soros  amp  the dnc ,2018,289,as to the flake elevator confrontation why do n't these suppose female victim approach amp berate a senator cory booker that sexually assault a female in his young year amp boast about it in his own aicle be it because the accepts contribution from soros amp the dnc,flake elevator confrontation n't suppose female victim approach amp berate senator cory booker sexually assault female young year amp boast aicle accepts contribution soros amp dnc,flake elevator confrontation n't suppose female victim approach amp berate senator cory booker sexually assault female young year amp boast aicle accepts contribution soros amp dnc
as to the flake elevator confrontation  why didn't these supposed female victims approach  amp  berate a senator cory booker that sexually assaulted a female in his young years  amp  boasted about it in his own aicle  is it because the  accepts contributions from soros  amp  the dnc ,2018,284,as to the flake elevator confrontation why do n't these suppose female victim approach amp berate a senator cory booker that sexually assault a female in his young year amp boast about it in his own aicle be it because the accepts contribution from soros amp the dnc,flake elevator confrontation n't suppose female victim approach amp berate senator cory booker sexually assault female young year amp boast aicle accepts contribution soros amp dnc,flake elevator confrontation n't suppose female victim approach amp berate senator cory booker sexually assault female young year amp boast aicle accepts contribution soros amp dnc
agreed  amp  it's such a shame  this  nonsense is hysterical madness  it's not helping equalize the sexes  in fact  i don't see this doing anything other than seeding a deep rooted misogyny towards women     amp  i can't blame men at all  women  please stop unfairly attacking men  ,2018,282,agree amp it's such a shame this nonsense be hysterical madness it's not help equalize the sex in fact i do n't see this do anything other than seed a deep root misogyny towards woman amp i ca n't blame men at all woman please stop unfairly attack men,agree amp shame nonsense hysterical madness help equalize sex fact n't see anything seed deep root misogyny towards woman amp ca n't blame men woman please stop unfairly attack men,agree amp shame nonsense hysterical madness help equalize sex fact n't see anything seed deep root misogyny towards woman amp n't blame men woman please stop unfairly attack men
in light of survivors coming forward  amp  sharing their stories  i want to say i m proud of the strong women in my life  sexual assault is common  it happened to me almost more than once  amp  every woman i know  may our stories shed light on the culture of violence against women,2018,281,in light of survivor come forward amp share their story i want to say i m proud of the strong woman in my life sexual assault be common it happen to me almost more than once amp every woman i know may our story shed light on the culture of violence against woman,light survivor come forward amp share story want say proud strong woman life sexual assault common happen almost amp every woman know may story shed light culture violence woman,light survivor come forward amp share story want say proud strong woman life sexual assault common happen almost amp every woman know may story shed light culture violence woman
                                             yes but she didn't publicly condemn asia argento like she does with men   should have shamed asia argento in their aicles and publications just like they did with hw and other men  and all this long they made us believe that they always stood by the accuser,2018,302,yes but she do n't publicly condemn asia argento like she do with men should have sham asia argento in their aicles and publication just like they do with hw and other men and all this long they make us believe that they always stand by the accuser,yes n't publicly condemn asia argento like men sham asia argento aicles publication like hw men long make us believe always stand accuser,yes n't publicly condemn asia argento like men sham asia argento aicles publication like men long make believe always stand accuser
                                              that s not only reason she paid  she was a middle aged adult who had sex with a boy after promising him a movie  she paid to also preserve her image as a victim  leader that some ppl stupidly bought into  even if it hadn t been illegal  it was enough to tank her leader gig ,2018,320,that s not only reason she pay she be a middle age adult who have sex with a boy after promise him a movie she pay to also preserve her image as a victim leader that some ppl stupidly buy into even if it hadn t be illegal it be enough to tank her leader gig,reason pay middle age adult sex boy promise movie pay also preserve image victim leader ppl stupidly buy even illegal enough tank leader gig,reason pay middle age adult sex boy promise movie pay also preserve image victim leader ppl stupidly buy even illegal enough tank leader gig
  lol    there is no  movement in bollywood  nana is almost out of industry not working much so these shameless people like farhan  priyanka  amp  swara came out to score pr points   everyone knows  amp  has repoed about salman's abusive behaviour  let's see how many will speak out,2018,282,lol there be no movement in bollywood nana be almost out of industry not work much so these shameless people like farhan priyanka amp swara come out to score pr point everyone know amp have repoed about salman's abusive behaviour let's see how many will speak out,lol movement bollywood nana almost industry work much shameless people like farhan priyanka amp swara come score pr point everyone know amp repoed salman's abusive behaviour let's see many speak,lol movement bollywood nana almost industry work much shameless people like farhan priyanka amp swara come score point everyone know amp repoed salman's abusive behaviour let's see many speak
